Path|Key|Source (EN_UK)|Target (ES)
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/reporting-resources|category-metrics.fractionalCount|Fractional count|!!UPDATE 03292021Fractional
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/reporting-resources|category-metrics.fractionalCount.internal|Fractional count internal|!!Interne Bruchteilzählung
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/reporting-resources|category-metrics.fractionalCount.external|Fractional count external|!!Externe Bruchteilzählung
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/reporting-resources|category-metrics.fractionalCount.internalOnly|Fractional count internal only|!!Nur interne Bruchteilzählung
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/reporting-resources|report.standard.person.production-numbers-title|Personal overview - last 3 years|!!Persönliche Übersicht letzte 3 Jahre.
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/reporting-resources|report.standard.person.production-numbers-description|Overview of the current academics and their activities from the last 3 years|!!Überblick über aktuelle Akademiker und ihre Aktivitäten der letzten 3 Jahre.
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/reporting-resources|report.standard.publication.journal-title|Publication overview - last 3 years|!!Überblick über Publikationen letzte 3 Jahre.
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/reporting-resources|report.standard.publication.journal-description|Overview of outputs within the period. Including PlumX metrics, publication status, workflow and details from from both associated journals and publishers.|!!Übersicht über Publikationen in diesem Zeitraum. Inklusive PlumX-Kennzahlen, Veröffentlichungsstatus, Workflow und Details der zugehörigen Fachzeitschriften und Verlage.
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/reporting-resources|report.standard.user.assignable.roles-title|User assignment overview|!!Übersicht über Nutzerarbeitsaufgaben
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/reporting-resources|report.standard.user.assignable.roles-description|Overview of selected user role assignments across organisational units|!!Übersicht über die Nutzerrollenzuweisungen über Organisationseinheiten hinweg.
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/reporting-resources|report.standard.award.funding-title|Funding overview - last 3 years|!!Übersicht über Fördermittel letzte 3 Jahre.
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/reporting-resources|report.standard.award.funding-description|Overview of funding information with focus on awards from the last 3 years and related applications|!!Überblick über Fördermittelinformationen mit Schwerpunkt auf Auszeichnungen der letzten 3 Jahre und damit verbundene Anträge.
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/reporting-resources|report.standard.publication.contributors-title|Research output contributors - outputs published this year|!!Beitragende an Forschungsergebnissen bei dieses Jahr veröffentlichten Publikationen.
