Path|Key|Source (EN_UK)|Target (ES)
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/reporting-resources|category-metrics.fractionalCount|Fractional count|!!UPDATE 03292021Fractional count
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/reporting-resources|category-metrics.fractionalCount.internal|Fractional count internal|!!Fractional count internal
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/reporting-resources|category-metrics.fractionalCount.external|Fractional count external|!!Fractional count external
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/reporting-resources|category-metrics.fractionalCount.internalOnly|Fractional count internal only|!!Fractional count internal only
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/reporting-resources|report.standard.person.production-numbers-title|Personal overview - last 3 years|!!Personal overview - last 3 years
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/reporting-resources|report.standard.person.production-numbers-description|Overview of the current academics and their activities from the last 3 years|!!Overview of the current academics and their activities from the last 3 years
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/reporting-resources|report.standard.publication.journal-title|Publication overview - last 3 years|!!Publication overview - last 3 years
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/reporting-resources|report.standard.publication.journal-description|Overview of outputs within the period. Including PlumX metrics, publication status, workflow and details from from both associated journals and publishers.|!!Overview of outputs within the period. Including PlumX metrics, publication status, workflow and details from from both associated journals and publishers.
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/reporting-resources|report.standard.user.assignable.roles-title|User assignment overview|!!User assignment overview
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/reporting-resources|report.standard.user.assignable.roles-description|Overview of selected user role assignments across organisational units|!!Overview of selected user role assignments across organisational units
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/reporting-resources|report.standard.award.funding-title|Funding overview - last 3 years|!!Funding overview - last 3 years
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/reporting-resources|report.standard.award.funding-description|Overview of funding information with focus on awards from the last 3 years and related applications|!!Overview of funding information with focus on awards from the last 3 years and related applications
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/reporting-resources|report.standard.publication.contributors-title|Research output contributors - outputs published this year|!!Research output contributors - outputs published this year
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/reporting-resources|report.standard.publication.contributors-description|Expanded list of research outputs with contributors and the associated affiliation|!!Expanded list of research outputs with contributors and the associated affiliation
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/reporting-resources|report.standard.award.by.organisation-title|Awarded amount - summarized per organisational unit|!!Awarded amount - summarized per organisational unit
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/reporting-resources|report.standard.award.by.organisation-description|Awarded amount rolled up to organisational unit level|!!Awarded amount rolled up to organisational unit level
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/reporting-resources|report.standard.content.by.organisation-title|Content overview - per organisational unit|!!Content overview - per organisational unit
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/reporting-resources|report.standard.content.by.organisation-description|Outputs, activities and projects rolled up to organisational unit level|!!Outputs, activities and projects rolled up to organisational unit level
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/journal/journalreporting-resources|project-alternative-issns|Additional ISSNs|!!Additional ISSNs
pure-modules/report-module/templates/runtime/src/main/resources/reporting/dk/atira/pure/modules/report/external/model/journal/journalreporting-resources|project-electronic-issns|Additional ISSNs (electronic)|!!Additional ISSNs (electronic)
